Route,MonthStart,Equipment,Flights,AvgTOW_kg,TotalTOW_kg,FuelBurnKg
AJU -> VCP,2024-09-01,A320,4,62150.25,248601,18514
AJU -> VCP,2024-10-01,A320,9,66951.44444444444,602563,45983
AJU -> VCP,2024-10-01,E2,6,55365.666666666664,332194,26231
AJU -> VCP,2024-10-01,E1,3,48130.666666666664,144392,16655
AJU -> VCP,2024-10-01,A321,1,75014.0,75014,5641
AJU -> VCP,2024-11-01,A320,15,65639.06666666667,984586,77729
AJU -> VCP,2024-11-01,E2,5,54591.0,272955,22041
AJU -> VCP,2024-11-01,E1,4,47414.25,189657,22114
AJU -> VCP,2024-11-01,A321,1,72903.0,72903,5468
AJU -> VCP,2024-12-01,A320,21,61984.666666666664,1301678,104198
AJU -> VCP,2024-12-01,E2,8,55007.25,440058,35356
AJU -> VCP,2024-12-01,A321,2,65573.5,131147,10287
AJU -> VCP,2024-12-01,E1,2,44499.0,88998,10306
AJU -> VCP,2025-01-01,E2,25,54626.92,1365673,110582
AJU -> VCP,2025-01-01,A320,9,67325.44444444444,605929,46617
AJU -> VCP,2025-01-01,E1,7,48369.42857142857,338586,39109
AJU -> VCP,2025-02-01,A320,17,67034.0,1139578,85855
AJU -> VCP,2025-02-01,E1,3,48329.333333333336,144988,16248
AJU -> VCP,2025-02-01,E2,2,55874.0,111748,8705
AJU -> VCP,2025-03-01,E2,24,54548.083333333336,1309154,103516
AJU -> VCP,2025-03-01,A320,8,64446.125,515569,39427
AJU -> VCP,2025-04-01,E2,18,54493.27777777778,980879,80217
AJU -> VCP,2025-04-01,A320,8,66984.0,535872,40964
AJU -> VCP,2025-05-01,E2,19,54539.10526315789,1036243,83825
AJU -> VCP,2025-05-01,A320,2,64684.0,129368,9883
AJU -> VCP,2025-06-01,E2,16,54975.8125,879613,71378
AJU -> VCP,2025-06-01,A320,4,66789.75,267159,21403
AJU -> VCP,2025-07-01,A320,11,66006.63636363637,726073,56437
AJU -> VCP,2025-07-01,E2,8,54738.125,437905,35913
AJU -> VCP,2025-07-01,E1,6,48294.166666666664,289765,32537
AJU -> VCP,2025-08-01,E2,18,54611.944444444445,983015,79357
AJU -> VCP,2025-08-01,A320,5,65390.8,326954,24602
AJU -> VCP,2025-09-01,E2,18,54349.88888888889,978298,80941
AJU -> VCP,2025-09-01,A320,11,66764.63636363637,734411,56769
AJU -> VCP,2025-10-01,E2,26,55158.0,1434108,115643
AJU -> VCP,2025-10-01,A320,3,65557.66666666667,196673,15174
AJU -> VCP,2025-11-01,E2,9,55215.444444444445,496939,40688
AJU -> VCP,2025-11-01,A320,1,68225.0,68225,5349
AQA -> VCP,2024-10-01,ATR,12,17430.583333333332,209167,3996
ARU -> VCP,2024-01-01,ATR,18,20156.055555555555,362809,12321
ARU -> VCP,2024-01-01,E1,3,40574.0,121722,4686
ARU -> VCP,2024-02-01,ATR,32,19330.09375,618563,20648
ARU -> VCP,2024-02-01,E1,1,38011.0,38011,1487
ARU -> VCP,2024-03-01,ATR,50,19230.2,961510,31186
ARU -> VCP,2024-04-01,ATR,46,20716.565217391304,952962,30544
ARU -> VCP,2024-05-01,ATR,46,20918.130434782608,962234,30330
ARU -> VCP,2024-06-01,ATR,52,20291.846153846152,1055176,34060
ARU -> VCP,2024-07-01,ATR,23,21197.608695652172,487545,15124
ARU -> VCP,2024-07-01,E1,2,41871.5,83743,2903
ARU -> VCP,2024-08-01,ATR,44,19962.772727272728,878362,27908
ARU -> VCP,2024-09-01,ATR,36,19855.722222222223,714806,23210
ARU -> VCP,2024-09-01,E1,1,39689.0,39689,1600
ARU -> VCP,2024-10-01,ATR,43,20619.232558139534,886627,28793
ARU -> VCP,2024-11-01,ATR,34,20068.117647058825,682316,22725
ARU -> VCP,2024-12-01,ATR,27,20085.777777777777,542316,17776
ARU -> VCP,2024-12-01,E1,2,39623.0,79246,3427
ARU -> VCP,2025-01-01,ATR,21,19744.904761904763,414643,13520
ARU -> VCP,2025-01-01,E1,2,39612.5,79225,3182
ARU -> VCP,2025-02-01,ATR,29,19685.068965517243,570867,19254
ARU -> VCP,2025-03-01,ATR,18,20744.5,373401,12136
ARU -> VCP,2025-04-01,ATR,24,20996.083333333332,503906,16013
ARU -> VCP,2025-05-01,ATR,24,21045.625,505095,15947
ARU -> VCP,2025-05-01,E1,1,38948.0,38948,1575
ARU -> VCP,2025-06-01,ATR,21,21054.95238095238,442154,13316
ARU -> VCP,2025-07-01,ATR,24,21047.333333333332,505136,15660
ARU -> VCP,2025-07-01,E1,1,39935.0,39935,1601
ARU -> VCP,2025-08-01,ATR,28,21204.5,593726,18935
ARU -> VCP,2025-09-01,ATR,29,21047.689655172413,610383,19597
ARU -> VCP,2025-10-01,ATR,30,21028.3,630849,20837
ARU -> VCP,2025-11-01,ATR,9,20632.555555555555,185693,6042
ASU -> CNF,2024-11-01,A320,1,65905.0,65905,4398
ASU -> REC,2024-12-01,E2,2,57249.5,114499,13059
ASU -> REC,2025-01-01,E2,2,59473.5,118947,14084
ASU -> REC,2025-02-01,E2,1,57893.0,57893,6798
ASU -> REC,2025-07-01,E2,5,55667.8,278339,32076
ASU -> REC,2025-08-01,E2,1,50776.0,50776,5862
ASU -> VCP,2024-12-01,E2,4,53192.0,212768,11142
ASU -> VCP,2025-01-01,E2,4,54021.75,216087,10371
ASU -> VCP,2025-02-01,E2,3,54002.0,162006,8288
ASU -> VCP,2025-03-01,E2,7,51557.142857142855,360900,18061
ASU -> VCP,2025-04-01,E2,4,52140.75,208563,10228
ASU -> VCP,2025-05-01,E2,1,49436.0,49436,2398
ASU -> VCP,2025-06-01,E2,1,48703.0,48703,2378
ASU -> VCP,2025-07-01,E2,2,49304.0,98608,4788
ATM -> CNF,2025-07-01,A320,1,52614.0,52614,4653
BEL -> CNF,2024-01-01,A320,41,70134.0487804878,2875496,257294
BEL -> CNF,2024-02-01,A320,42,67868.40476190476,2850473,250601
BEL -> CNF,2024-03-01,A320,42,67851.69047619047,2849771,255480
BEL -> CNF,2024-03-01,E2,1,50805.0,50805,4749
BEL -> CNF,2024-04-01,A320,44,68921.29545454546,3032537,268379
BEL -> CNF,2024-05-01,A320,49,67701.48979591837,3317373,288291
BEL -> CNF,2024-05-01,E2,1,50878.0,50878,4356
BEL -> CNF,2024-06-01,A320,66,66432.5303030303,4384547,379070
BEL -> CNF,2024-07-01,A320,58,67683.74137931035,3925657,340341
BEL -> CNF,2024-08-01,A320,52,67744.09615384616,3522693,303633
BEL -> CNF,2024-09-01,A320,53,67686.3396226415,3587376,312727
BEL -> CNF,2024-10-01,A320,71,66995.81690140846,4756703,422266
BEL -> CNF,2024-10-01,A321,1,77244.0,77244,6955
BEL -> CNF,2024-10-01,E2,1,57016.0,57016,4976
BEL -> CNF,2024-11-01,A320,72,68396.63888888889,4924558,441050
BEL -> CNF,2024-11-01,E2,1,56678.0,56678,5072
BEL -> CNF,2024-12-01,A320,47,68482.25531914894,3218666,294403
BEL -> CNF,2024-12-01,E2,3,51526.666666666664,154580,14354
BEL -> CNF,2025-01-01,A320,53,66977.47169811321,3549806,322133
BEL -> CNF,2025-01-01,E2,1,43474.0,43474,4131
BEL -> CNF,2025-02-01,A320,59,66816.96610169491,3942201,348670
BEL -> CNF,2025-02-01,E2,1,54807.0,54807,5208
BEL -> CNF,2025-03-01,A320,68,63804.44117647059,4338702,387077
BEL -> CNF,2025-03-01,E2,1,47697.0,47697,4402
BEL -> CNF,2025-04-01,A320,62,65328.67741935484,4050378,355475
BEL -> CNF,2025-04-01,E2,1,48859.0,48859,4480
BEL -> CNF,2025-05-01,A320,75,66254.88,4969116,429742
BEL -> CNF,2025-05-01,E2,1,57091.0,57091,4988
BEL -> CNF,2025-06-01,A320,67,67889.04477611941,4548566,392599
BEL -> CNF,2025-07-01,A320,57,68593.98245614035,3909857,334922
BEL -> CNF,2025-08-01,A320,68,68359.17647058824,4648424,400061
BEL -> CNF,2025-08-01,E2,6,54910.666666666664,329464,30595
BEL -> CNF,2025-09-01,A320,65,67110.64615384616,4362192,384449
BEL -> CNF,2025-09-01,E2,6,55584.333333333336,333506,30890
BEL -> CNF,2025-10-01,A320,67,67332.89552238806,4511304,395092
BEL -> CNF,2025-11-01,A320,22,67926.90909090909,1494392,134872
BEL -> REC,2024-01-01,A320,36,62791.25,2260485,168353
BEL -> REC,2024-02-01,A320,46,63186.30434782609,2906570,211693
BEL -> REC,2024-03-01,A320,41,62528.829268292684,2563682,193061
BEL -> REC,2024-04-01,A320,45,63577.2,2860974,215091
BEL -> REC,2024-05-01,A320,42,64048.26190476191,2690027,195867
BEL -> REC,2024-05-01,A321,1,65750.0,65750,4775
BEL -> REC,2024-06-01,A320,66,63961.681818181816,4221471,303665
BEL -> REC,2024-07-01,A320,48,65745.58333333333,3155788,228489
BEL -> REC,2024-08-01,A320,57,63084.15789473684,3595797,267521
BEL -> REC,2024-08-01,A321,1,66114.0,66114,4946
BEL -> REC,2024-09-01,A320,58,63027.31034482759,3655584,264839
BEL -> REC,2024-10-01,A320,55,63764.509090909094,3507048,256437
BEL -> REC,2024-11-01,A320,39,66040.56410256411,2575582,188467
BEL -> REC,2024-12-01,A320,48,65792.54166666667,3158042,228719
BEL -> REC,2024-12-01,E2,11,54183.72727272727,596021,45248
BEL -> REC,2025-01-01,A320,40,63042.3,2521692,184526
BEL -> REC,2025-01-01,E2,18,49674.38888888889,894139,68408
BEL -> REC,2025-01-01,E1,2,45163.5,90327,9350
BEL -> REC,2025-02-01,A320,38,64064.44736842105,2434449,174909
BEL -> REC,2025-02-01,E2,24,51188.291666666664,1228519,91694
BEL -> REC,2025-03-01,A320,47,60859.34042553192,2860389,211479
BEL -> REC,2025-03-01,E2,8,52387.875,419103,31459
BEL -> REC,2025-04-01,A320,48,62423.604166666664,2996333,222685
BEL -> REC,2025-05-01,A320,46,63691.30434782609,2929800,211158
BEL -> REC,2025-05-01,E2,1,52585.0,52585,4029
BEL -> REC,2025-06-01,A320,54,65715.92592592593,3548660,253820
BEL -> REC,2025-07-01,A320,59,66606.69491525424,3929795,276348
BEL -> REC,2025-08-01,A320,49,66163.91836734694,3242032,236206
BEL -> REC,2025-09-01,A320,53,66093.16981132075,3502938,248800
BEL -> REC,2025-10-01,A320,45,64088.044444444444,2883962,204304
BEL -> REC,2025-11-01,A320,18,64745.72222222222,1165423,87015
BEL -> VCP,2024-01-01,A320,38,71618.23684210527,2721493,269907
BEL -> VCP,2024-01-01,A321,22,82881.95454545454,1823403,183009
BEL -> VCP,2024-01-01,E1,7,40140.0,280980,43021
BEL -> VCP,2024-02-01,A320,46,70836.86956521739,3258496,324965
BEL -> VCP,2024-02-01,A321,18,82875.38888888889,1491757,150993
BEL -> VCP,2024-03-01,A320,61,72116.75409836066,4399122,439566
BEL -> VCP,2024-03-01,A321,16,84701.875,1355230,137620
BEL -> VCP,2024-03-01,E2,1,57866.0,57866,5806
BEL -> VCP,2024-04-01,A320,60,71029.58333333333,4261775,423258
BEL -> VCP,2024-04-01,A321,18,81547.94444444444,1467863,147645
BEL -> VCP,2024-05-01,A320,56,71726.19642857143,4016667,389655
BEL -> VCP,2024-05-01,A321,23,81023.52173913043,1863541,183589
BEL -> VCP,2024-06-01,A320,52,72266.36538461539,3757851,365128
BEL -> VCP,2024-06-01,A321,23,81705.21739130435,1879220,185479
BEL -> VCP,2024-07-01,A320,59,71619.50847457627,4225551,413112
BEL -> VCP,2024-07-01,A321,25,84147.8,2103695,205415
BEL -> VCP,2024-08-01,A320,46,70154.89130434782,3227125,315313
BEL -> VCP,2024-08-01,A321,14,80339.57142857143,1124754,110694
BEL -> VCP,2024-09-01,A320,48,68707.04166666667,3297938,329297
BEL -> VCP,2024-09-01,A321,22,79655.68181818182,1752425,176825
BEL -> VCP,2024-09-01,E2,1,57293.0,57293,5630
BEL -> VCP,2024-10-01,A320,70,69115.54285714286,4838088,486988
BEL -> VCP,2024-10-01,A321,5,80197.0,400985,39771
BEL -> VCP,2024-11-01,A320,79,69761.03797468354,5511122,562537
BEL -> VCP,2024-11-01,E1,1,39448.0,39448,6079
BEL -> VCP,2024-12-01,A320,69,69699.89855072464,4809293,493267
BEL -> VCP,2024-12-01,E1,1,38788.0,38788,6165
BEL -> VCP,2025-01-01,A320,71,68830.9014084507,4886994,496064
BEL -> VCP,2025-01-01,A321,1,82182.0,82182,8462
BEL -> VCP,2025-02-01,A320,66,69171.78787878787,4565338,461721
BEL -> VCP,2025-02-01,E1,1,50704.0,50704,8450
BEL -> VCP,2025-03-01,A320,76,69462.63157894737,5279160,530130
BEL -> VCP,2025-04-01,A320,68,70821.58823529411,4815868,477761
BEL -> VCP,2025-05-01,A320,66,69306.89393939394,4574255,458549
BEL -> VCP,2025-05-01,A321,1,76131.0,76131,7502
BEL -> VCP,2025-05-01,E2,1,57953.0,57953,5736
BEL -> VCP,2025-06-01,A320,75,69318.53333333334,5198890,513782
BEL -> VCP,2025-07-01,A320,73,70182.12328767123,5123295,508123
BEL -> VCP,2025-07-01,A321,1,82226.0,82226,7974
BEL -> VCP,2025-07-01,E2,1,56019.0,56019,5536
BEL -> VCP,2025-08-01,A320,75,69586.05333333333,5218954,508122
BEL -> VCP,2025-08-01,A321,1,75453.0,75453,7422
BEL -> VCP,2025-09-01,A320,78,69211.02564102564,5398460,539260
BEL -> VCP,2025-09-01,E1,1,47001.0,47001,7420
BEL -> VCP,2025-09-01,E2,1,57222.0,57222,5565
BEL -> VCP,2025-10-01,A320,70,69390.9857142857,4857369,482804
BEL -> VCP,2025-10-01,A321,5,76108.4,380542,39086
BEL -> VCP,2025-10-01,E1,1,46000.0,46000,6822
BEL -> VCP,2025-11-01,A320,25,70679.24,1766981,178919
BEL -> VCP,2025-11-01,A321,1,74912.0,74912,8240
BPS -> CNF,2024-01-01,A320,62,64810.854838709674,4018273,149955
BPS -> CNF,2024-01-01,E2,5,52957.8,264789,11114
BPS -> CNF,2024-01-01,ATR,3,16943.666666666668,50831,2789
BPS -> CNF,2024-01-01,E1,1,45708.0,45708,2542
BPS -> CNF,2024-02-01,A320,37,63702.48648648649,2356992,88563
BPS -> CNF,2024-02-01,E2,5,52583.2,262916,9673
BPS -> CNF,2024-02-01,ATR,1,16702.0,16702,842
BPS -> CNF,2024-03-01,A320,60,63505.28333333333,3810317,142593
BPS -> CNF,2024-03-01,E2,5,53010.8,265054,9888
BPS -> CNF,2024-04-01,A320,61,62227.016393442624,3795848,140834
BPS -> CNF,2024-04-01,E2,5,50300.8,251504,9536
BPS -> CNF,2024-05-01,A320,41,62536.41463414634,2563993,94439
BPS -> CNF,2024-05-01,E2,8,52157.875,417263,15787
BPS -> CNF,2024-05-01,E1,5,44232.6,221163,11644
BPS -> CNF,2024-06-01,A320,45,62573.42222222222,2815804,105952
BPS -> CNF,2024-06-01,E2,12,52331.333333333336,627976,23825
BPS -> CNF,2024-07-01,A320,53,63436.96226415094,3362159,124984
BPS -> CNF,2024-07-01,E1,19,41541.78947368421,789294,43543
BPS -> CNF,2024-07-01,E2,9,51556.0,464004,17674
BPS -> CNF,2024-07-01,ATR,1,19857.0,19857,1001
BPS -> CNF,2024-08-01,A320,42,63257.69047619047,2656823,96699
BPS -> CNF,2024-08-01,ATR,8,21048.125,168385,7953
BPS -> CNF,2024-08-01,E2,8,52192.375,417539,15876
BPS -> CNF,2024-08-01,E1,5,44687.2,223436,12325
BPS -> CNF,2024-09-01,A320,47,63428.87234042553,2981157,110361
BPS -> CNF,2024-09-01,ATR,7,21383.571428571428,149685,6923
BPS -> CNF,2024-09-01,E1,4,45340.5,181362,9667
BPS -> CNF,2024-09-01,E2,4,52396.25,209585,8081
BPS -> CNF,2024-10-01,A320,62,63146.62903225807,3915091,145306
BPS -> CNF,2024-10-01,E1,5,44704.4,223522,12000
BPS -> CNF,2024-10-01,ATR,4,21570.75,86283,4293
BPS -> CNF,2024-10-01,E2,1,52097.0,52097,2073
BPS -> CNF,2024-11-01,A320,65,63448.43076923077,4124148,154177
BPS -> CNF,2024-11-01,E1,8,42104.875,336839,19168
BPS -> CNF,2024-11-01,ATR,6,21605.5,129633,6517
BPS -> CNF,2024-11-01,E2,6,51294.333333333336,307766,11809
BPS -> CNF,2024-12-01,E2,37,50179.45945945946,1856640,71024
BPS -> CNF,2024-12-01,A320,32,61277.71875,1960887,74549
BPS -> CNF,2024-12-01,ATR,8,21366.375,170931,8689
BPS -> CNF,2024-12-01,E1,5,43831.0,219155,12874
BPS -> CNF,2025-01-01,A320,41,63924.243902439026,2620894,96397
BPS -> CNF,2025-01-01,E2,33,52919.757575757576,1746352,66834
BPS -> CNF,2025-01-01,E1,7,45324.71428571428,317273,17311
BPS -> CNF,2025-01-01,ATR,6,21648.666666666668,129892,6166
BPS -> CNF,2025-02-01,A320,41,64197.39024390244,2632093,93190
BPS -> CNF,2025-02-01,E2,15,52142.26666666667,782134,28442
BPS -> CNF,2025-02-01,E1,14,44723.5,626129,32382
BPS -> CNF,2025-02-01,ATR,6,21678.666666666668,130072,5919
BPS -> CNF,2025-03-01,E2,56,52005.33928571428,2912299,109027
BPS -> CNF,2025-03-01,A320,30,62773.13333333333,1883194,68471
BPS -> CNF,2025-03-01,ATR,7,21720.428571428572,152043,7383
BPS -> CNF,2025-03-01,E1,2,44459.0,88918,5359
BPS -> CNF,2025-04-01,E2,77,51225.506493506495,3944364,151129
BPS -> CNF,2025-04-01,A320,11,64349.0,707839,26145
BPS -> CNF,2025-04-01,ATR,8,21931.5,175452,8959
BPS -> CNF,2025-04-01,E1,1,40442.0,40442,2861
BPS -> CNF,2025-05-01,E2,70,50818.385714285716,3557287,134289
BPS -> CNF,2025-05-01,A320,17,62514.82352941176,1062752,39086
